Date,Open,High,Low,Close,Volume,Adj Close
1988-09-01,9.31,9.31,8.96,8.98,000,8.98
1988-08-01,9.17,9.46,9.04,9.31,000,9.31
1988-07-01,8.84,9.27,8.84,9.23,000,9.23
1988-06-01,9.12,9.16,8.81,8.87,000,8.87
1988-05-02,9.17,9.36,9.11,9.30,000,9.30
1988-04-04,8.92,9.11,8.74,9.11,000,9.11
1988-03-01,8.40,8.83,8.36,8.82,000,8.82
1988-02-01,8.42,8.54,8.32,8.39,000,8.39
1988-01-04,8.95,9.12,8.42,8.42,000,8.42
1987-12-01,9.15,9.45,8.90,8.95,000,8.95
1987-11-02,9.13,9.18,8.80,9.10,000,9.10
1987-10-01,9.80,10.25,8.94,9.03,000,9.03
1987-09-01,9.24,9.80,9.24,9.79,000,9.79
1987-08-03,9.02,9.18,8.77,9.17,000,9.17
1987-07-01,8.49,8.89,8.40,8.89,000,8.89
1987-06-01,8.63,8.90,8.40,8.51,000,8.51
1987-05-01,8.59,9.07,8.59,8.65,000,8.65
1987-04-01,7.89,8.69,7.84,8.45,000,8.45
1987-03-02,7.46,7.84,7.44,7.81,000,7.81
1987-02-02,7.52,7.64,7.47,7.48,000,7.48
1987-01-01,7.44,7.49,7.29,7.48,000,7.48
1986-12-01,7.42,7.49,7.29,7.49,000,7.49
1986-11-03,7.57,7.64,7.40,7.41,000,7.41
1986-10-01,7.57,7.92,7.53,7.61,000,7.61
1986-09-02,7.23,7.83,7.23,7.60,000,7.60
1986-08-01,7.46,7.57,7.17,7.21,000,7.21
1986-07-01,7.21,7.59,7.12,7.46,000,7.46
1986-06-02,7.91,7.93,7.24,7.24,000,7.24
1986-05-01,7.54,7.74,7.36,7.74,000,7.74
1986-04-01,7.47,7.61,7.14,7.47,000,7.47
1986-03-03,8.16,8.26,7.44,7.44,000,7.44
1986-02-03,9.28,9.32,8.27,8.27,000,8.27
1986-01-02,9.28,9.65,9.18,9.34,000,9.34
1985-12-02,9.94,9.94,9.27,9.27,000,9.27
1985-11-01,10.24,10.24,9.86,9.86,000,9.86
1985-10-01,10.55,10.66,10.26,10.28,000,10.28
1985-09-03,10.46,10.73,10.40,10.57,000,10.57
1985-08-01,10.62,10.77,10.37,10.48,000,10.48
1985-07-01,10.44,10.79,10.23,10.70,000,10.70
1985-06-03,10.40,10.68,10.23,10.47,000,10.47
1985-05-01,11.37,11.39,10.58,10.58,000,10.58
1985-04-01,11.65,11.75,11.21,11.48,000,11.48
1985-03-01,11.82,11.97,11.64,11.64,000,11.64
1985-02-01,11.32,11.90,11.24,11.90,000,11.90
1985-01-02,11.69,11.70,11.16,11.21,000,11.21
